"Age"	"Education"	"Religion"	"Ethnicity"	"Income"	"Marital"	"Employed"	"Gender"	"SearchesPerWeek"	"EverSearched"	"LastElection"	"PoliticalView"	"FamiliarCandidate1"	"FamiliarCandidate2"
31	"Bachelors"	"Christianity"	"White"	"$45,000 to 60,000"	"Never married"	"Yes"	"Male"	5	"Yes"	"Yes"	"Conservative"	6	1
55	"Bachelors"	"Christianity"	"White"	"$15,000 to 23,000"	"Widowed"	"Yes"	"Male"	50	"Yes"	"Yes"	"Moderate"	2	2
25	"Bachelors"	"Christianity"	"White"	"$7,500 to 15,000"	"Never married"	"Yes"	"Male"	11	"Yes"	"Yes"	"Liberal"	7	1
57	"Bachelors"	"Other"	"White"	"$150,000 and over"	"Married"	"Yes"	"Female"	2	"No"	"Yes"	"Moderate"	8	1
18	"Secondary"	"Christianity"	"White"	"$75,000 to 100,000"	"Never married"	"No"	"Male"	10	"Yes"	"No"	"Liberal"	1	1
29	"Bachelors"	"Christianity"	"Black"	"$30,000 to 45,000"	"Never married"	"No"	"Female"	5	"Yes"	"No"	"Moderate"	1	1
32	"Bachelors"	"Hinduism"	"Asian"	"$30,000 to 45,000"	"Married"	"Yes"	"Male"	10	"Yes"	"Yes"	"Conservative"	10	8
25	"Bachelors"	"None"	"Hispanic"	"$15,000 to 23,000"	"Never married"	"Yes"	"Male"	10	"Yes"	"Yes"	"Liberal"	8	5
46	"Secondary"	"Christianity"	"White"	"$60,000 to 75,000"	"Divorced"	"Yes"	"Female"	2	"Yes"	"Yes"	"Moderate"	7	5
26	"Bachelors"	"None"	"Hispanic"	"$30,000 to 45,000"	"Never married"	"No"	"Male"	10	"Yes"	"No"	"None"	7	1
30	"Secondary"	"None"	"White"	"$75,000 to 100,000"	"Married"	"Yes"	"Female"	6	"No"	"No"	"Moderate"	4	3
22	"Secondary"	"None"	"White"	"$15,000 to 23,000"	"Never married"	"No"	"Male"	20	"No"	"No"	"Moderate"	7	5
